,Dir,PDB,Protein_type,Bound_Unbound,Rank
31,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8qrg_0_seed2/,renum_fv_fold_8qrg_0_seed2_model_0.pdb,antibody,bound,0.58
32,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8qrg_0_seed2/,renum_fv_fold_8qrg_0_seed2_model_3.pdb,antibody,bound,0.5700000000000001
33,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8qrg_0_seed2/,renum_fv_fold_8qrg_0_seed2_model_2.pdb,antibody,bound,0.58
34,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8qrg_0_seed2/,renum_fv_fold_8qrg_0_seed2_model_4.pdb,antibody,bound,0.5700000000000001
35,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8j7t_0_seed3/,renum_fv_fold_8j7t_0_seed3_model_0.pdb,antibody,bound,0.51
36,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8j7t_0_seed3/,renum_fv_fold_8j7t_0_seed3_model_3.pdb,antibody,bound,0.5
37,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8j7t_0_seed3/,renum_fv_fold_8j7t_0_seed3_model_2.pdb,antibody,bound,0.51
38,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8j7t_0_seed3/,renum_fv_fold_8j7t_0_seed3_model_1.pdb,antibody,bound,0.51
39,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8j7t_0_seed3/,renum_fv_fold_8j7t_0_seed3_model_4.pdb,antibody,bound,0.5
40,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cz5_0_seed1/,renum_fv_fold_8cz5_0_seed1_model_2.pdb,antibody,bound,0.46
41,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cz5_0_seed1/,renum_fv_fold_8cz5_0_seed1_model_3.pdb,antibody,bound,0.46
42,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cz5_0_seed1/,renum_fv_fold_8cz5_0_seed1_model_1.pdb,antibody,bound,0.47000000000000003
43,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cz5_0_seed1/,renum_fv_fold_8cz5_0_seed1_model_4.pdb,antibody,bound,0.45
44,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cz5_0_seed1/,renum_fv_fold_8cz5_0_seed1_model_0.pdb,antibody,bound,0.47000000000000003
45,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8c3v_1_seed1/,renum_fv_fold_8c3v_1_seed1_model_1.pdb,antibody,bound,0.85
46,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8c3v_1_seed1/,renum_fv_fold_8c3v_1_seed1_model_3.pdb,antibody,bound,0.85
47,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8c3v_1_seed1/,renum_fv_fold_8c3v_1_seed1_model_0.pdb,antibody,bound,0.85
48,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8c3v_1_seed1/,renum_fv_fold_8c3v_1_seed1_model_2.pdb,antibody,bound,0.85
49,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8c3v_1_seed1/,renum_fv_fold_8c3v_1_seed1_model_4.pdb,antibody,bound,0.8300000000000001
50,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed3/,renum_fv_fold_7wog_0_seed3_model_2.pdb,antibody,bound,0.46
51,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed3/,renum_fv_fold_7wog_0_seed3_model_1.pdb,antibody,bound,0.49
52,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed3/,renum_fv_fold_7wog_0_seed3_model_4.pdb,antibody,bound,0.45
53,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed3/,renum_fv_fold_7wog_0_seed3_model_0.pdb,antibody,bound,0.51
54,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed3/,renum_fv_fold_7wog_0_seed3_model_3.pdb,antibody,bound,0.46
55,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8heb_0_seed3/,renum_fv_fold_8heb_0_seed3_model_2.pdb,antibody,bound,0.31
56,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8heb_0_seed3/,renum_fv_fold_8heb_0_seed3_model_0.pdb,antibody,bound,0.31
57,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8heb_0_seed3/,renum_fv_fold_8heb_0_seed3_model_1.pdb,antibody,bound,0.31
58,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8heb_0_seed3/,renum_fv_fold_8heb_0_seed3_model_3.pdb,antibody,bound,0.31
59,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8heb_0_seed3/,renum_fv_fold_8heb_0_seed3_model_4.pdb,antibody,bound,0.30000000000000004
60,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8gho_0_seed3/,renum_fv_fold_8gho_0_seed3_model_1.pdb,antibody,bound,0.97
61,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8gho_0_seed3/,renum_fv_fold_8gho_0_seed3_model_3.pdb,antibody,bound,0.96
62,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8gho_0_seed3/,renum_fv_fold_8gho_0_seed3_model_4.pdb,antibody,bound,0.96
63,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8gho_0_seed3/,renum_fv_fold_8gho_0_seed3_model_2.pdb,antibody,bound,0.97
64,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8gho_0_seed3/,renum_fv_fold_8gho_0_seed3_model_0.pdb,antibody,bound,0.97
65,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8g2m_0_seed1/,renum_fv_fold_8g2m_0_seed1_model_3.pdb,antibody,bound,0.89
66,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8g2m_0_seed1/,renum_fv_fold_8g2m_0_seed1_model_1.pdb,antibody,bound,0.9
67,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8g2m_0_seed1/,renum_fv_fold_8g2m_0_seed1_model_4.pdb,antibody,bound,0.85
68,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8g2m_0_seed1/,renum_fv_fold_8g2m_0_seed1_model_2.pdb,antibody,bound,0.9
69,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8g2m_0_seed1/,renum_fv_fold_8g2m_0_seed1_model_0.pdb,antibody,bound,0.91
70,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wcp_0_seed1/,renum_fv_fold_7wcp_0_seed1_model_0.pdb,antibody,bound,0.30000000000000004
71,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wcp_0_seed1/,renum_fv_fold_7wcp_0_seed1_model_1.pdb,antibody,bound,0.29
72,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wcp_0_seed1/,renum_fv_fold_7wcp_0_seed1_model_3.pdb,antibody,bound,0.29
73,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wcp_0_seed1/,renum_fv_fold_7wcp_0_seed1_model_2.pdb,antibody,bound,0.29
74,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wcp_0_seed1/,renum_fv_fold_7wcp_0_seed1_model_4.pdb,antibody,bound,0.29
75,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sdg_1_seed3/,renum_fv_fold_8sdg_1_seed3_model_0.pdb,antibody,bound,0.63
76,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sdg_1_seed3/,renum_fv_fold_8sdg_1_seed3_model_4.pdb,antibody,bound,0.61
77,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sdg_1_seed3/,renum_fv_fold_8sdg_1_seed3_model_1.pdb,antibody,bound,0.62
78,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sdg_1_seed3/,renum_fv_fold_8sdg_1_seed3_model_3.pdb,antibody,bound,0.62
79,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sdg_1_seed3/,renum_fv_fold_8sdg_1_seed3_model_2.pdb,antibody,bound,0.62
80,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wbh_0_seed2/,renum_fv_fold_7wbh_0_seed2_model_1.pdb,antibody,bound,0.30000000000000004
81,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wbh_0_seed2/,renum_fv_fold_7wbh_0_seed2_model_3.pdb,antibody,bound,0.30000000000000004
82,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wbh_0_seed2/,renum_fv_fold_7wbh_0_seed2_model_0.pdb,antibody,bound,0.30000000000000004
83,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wbh_0_seed2/,renum_fv_fold_7wbh_0_seed2_model_2.pdb,antibody,bound,0.30000000000000004
84,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wbh_0_seed2/,renum_fv_fold_7wbh_0_seed2_model_4.pdb,antibody,bound,0.30000000000000004
85,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8f6o_0_seed2/,renum_fv_fold_8f6o_0_seed2_model_3.pdb,antibody,bound,0.86
86,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8f6o_0_seed2/,renum_fv_fold_8f6o_0_seed2_model_4.pdb,antibody,bound,0.85
87,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8f6o_0_seed2/,renum_fv_fold_8f6o_0_seed2_model_0.pdb,antibody,bound,0.86
88,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8f6o_0_seed2/,renum_fv_fold_8f6o_0_seed2_model_2.pdb,antibody,bound,0.86
89,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8f6o_0_seed2/,renum_fv_fold_8f6o_0_seed2_model_1.pdb,antibody,bound,0.86
90,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7yds_0_seed3/,renum_fv_fold_7yds_0_seed3_model_3.pdb,antibody,bound,0.64
91,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7yds_0_seed3/,renum_fv_fold_7yds_0_seed3_model_1.pdb,antibody,bound,0.66
92,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7yds_0_seed3/,renum_fv_fold_7yds_0_seed3_model_0.pdb,antibody,bound,0.66
93,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7yds_0_seed3/,renum_fv_fold_7yds_0_seed3_model_2.pdb,antibody,bound,0.65
94,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7yds_0_seed3/,renum_fv_fold_7yds_0_seed3_model_4.pdb,antibody,bound,0.6000000000000001
95,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8che_1_seed2/,renum_fv_fold_8che_1_seed2_model_1.pdb,antibody,bound,0.88
96,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8che_1_seed2/,renum_fv_fold_8che_1_seed2_model_0.pdb,antibody,bound,0.89
97,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8che_1_seed2/,renum_fv_fold_8che_1_seed2_model_3.pdb,antibody,bound,0.87
98,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8che_1_seed2/,renum_fv_fold_8che_1_seed2_model_4.pdb,antibody,bound,0.87
99,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8che_1_seed2/,renum_fv_fold_8che_1_seed2_model_2.pdb,antibody,bound,0.88
100,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7u5b_1_seed1/,renum_fv_fold_7u5b_1_seed1_model_2.pdb,antibody,bound,0.55
101,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7u5b_1_seed1/,renum_fv_fold_7u5b_1_seed1_model_3.pdb,antibody,bound,0.55
102,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7u5b_1_seed1/,renum_fv_fold_7u5b_1_seed1_model_1.pdb,antibody,bound,0.55
103,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7u5b_1_seed1/,renum_fv_fold_7u5b_1_seed1_model_0.pdb,antibody,bound,0.56
104,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7u5b_1_seed1/,renum_fv_fold_7u5b_1_seed1_model_4.pdb,antibody,bound,0.54
105,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wsc_0_seed3/,renum_fv_fold_7wsc_0_seed3_model_1.pdb,antibody,bound,0.48
106,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wsc_0_seed3/,renum_fv_fold_7wsc_0_seed3_model_0.pdb,antibody,bound,0.49
107,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wsc_0_seed3/,renum_fv_fold_7wsc_0_seed3_model_4.pdb,antibody,bound,0.46
108,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wsc_0_seed3/,renum_fv_fold_7wsc_0_seed3_model_3.pdb,antibody,bound,0.47000000000000003
109,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wsc_0_seed3/,renum_fv_fold_7wsc_0_seed3_model_2.pdb,antibody,bound,0.48
110,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8dg9_0_seed2/,renum_fv_fold_8dg9_0_seed2_model_0.pdb,antibody,bound,0.86
111,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8dg9_0_seed2/,renum_fv_fold_8dg9_0_seed2_model_4.pdb,antibody,bound,0.85
112,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8dg9_0_seed2/,renum_fv_fold_8dg9_0_seed2_model_2.pdb,antibody,bound,0.86
113,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8dg9_0_seed2/,renum_fv_fold_8dg9_0_seed2_model_3.pdb,antibody,bound,0.86
114,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8dg9_0_seed2/,renum_fv_fold_8dg9_0_seed2_model_1.pdb,antibody,bound,0.86
115,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7unb_1_seed2/,renum_fv_fold_7unb_1_seed2_model_3.pdb,antibody,bound,0.8300000000000001
116,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7unb_1_seed2/,renum_fv_fold_7unb_1_seed2_model_2.pdb,antibody,bound,0.8300000000000001
117,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7unb_1_seed2/,renum_fv_fold_7unb_1_seed2_model_0.pdb,antibody,bound,0.84
118,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7unb_1_seed2/,renum_fv_fold_7unb_1_seed2_model_4.pdb,antibody,bound,0.8300000000000001
119,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7unb_1_seed2/,renum_fv_fold_7unb_1_seed2_model_1.pdb,antibody,bound,0.8300000000000001
120,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7r58_0_seed3/,renum_fv_fold_7r58_0_seed3_model_0.pdb,antibody,bound,0.59
121,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7r58_0_seed3/,renum_fv_fold_7r58_0_seed3_model_3.pdb,antibody,bound,0.5700000000000001
122,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7r58_0_seed3/,renum_fv_fold_7r58_0_seed3_model_1.pdb,antibody,bound,0.59
123,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7r58_0_seed3/,renum_fv_fold_7r58_0_seed3_model_2.pdb,antibody,bound,0.58
124,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7r58_0_seed3/,renum_fv_fold_7r58_0_seed3_model_4.pdb,antibody,bound,0.52
125,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7x8p_0_seed2/,renum_fv_fold_7x8p_0_seed2_model_3.pdb,antibody,bound,0.76
126,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7x8p_0_seed2/,renum_fv_fold_7x8p_0_seed2_model_4.pdb,antibody,bound,0.73
127,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7x8p_0_seed2/,renum_fv_fold_7x8p_0_seed2_model_2.pdb,antibody,bound,0.76
128,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7x8p_0_seed2/,renum_fv_fold_7x8p_0_seed2_model_0.pdb,antibody,bound,0.77
129,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7x8p_0_seed2/,renum_fv_fold_7x8p_0_seed2_model_1.pdb,antibody,bound,0.77
130,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8d9y_0_seed3/,renum_fv_fold_8d9y_0_seed3_model_1.pdb,antibody,bound,0.88
131,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8d9y_0_seed3/,renum_fv_fold_8d9y_0_seed3_model_3.pdb,antibody,bound,0.87
132,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8d9y_0_seed3/,renum_fv_fold_8d9y_0_seed3_model_0.pdb,antibody,bound,0.88
133,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8d9y_0_seed3/,renum_fv_fold_8d9y_0_seed3_model_2.pdb,antibody,bound,0.88
134,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8d9y_0_seed3/,renum_fv_fold_8d9y_0_seed3_model_4.pdb,antibody,bound,0.87
135,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cii_1_seed2/,renum_fv_fold_8cii_1_seed2_model_0.pdb,antibody,bound,0.5700000000000001
136,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cii_1_seed2/,renum_fv_fold_8cii_1_seed2_model_2.pdb,antibody,bound,0.5700000000000001
137,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cii_1_seed2/,renum_fv_fold_8cii_1_seed2_model_4.pdb,antibody,bound,0.56
138,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cii_1_seed2/,renum_fv_fold_8cii_1_seed2_model_1.pdb,antibody,bound,0.5700000000000001
139,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8cii_1_seed2/,renum_fv_fold_8cii_1_seed2_model_3.pdb,antibody,bound,0.5700000000000001
